label,weight,in use
Holding Stock,,yes
None,,yes
Pad0,372.9,yes
Pad1,378.6,yes
Pad2,499.5,yes
Pad3,504.2,yes
Pad4,364.9,yes
Pad5,365.2,yes
Pad6,446.1,yes
Pad7,498.4,yes
Pad8,492.1,yes
Pad9,499.2,yes
Pad10,375.4,yes
Pad11,496.1,yes
Pad12,526.9,yes
Pad13,493.5,yes
Pad14,514.6,yes
Pad15,487.2,yes
Pad16,545.8,yes
Pad17,541.5,yes
Pad18,498.9,yes
Pad19,494,yes
Pad20,492.4,yes
Pad21,443.1,yes
Pad22,442.6,yes
Pad23,451.7,yes
Pad24,586.8,yes
Pad25,505.3,yes
Pad26,533.4,yes
Pad27,530,yes
Pad28,454.6,yes
Pad29,534.1,yes
Pad30,513.5,yes
Pad31,522.7,yes
Pad32,368.6,yes
Pad33,375.6,yes
Pad34,,yes
Pad35,488.9,yes
Pad36,441.9,yes
Pad37,441.6,yes
Pad38,374.8,yes
Pad39,385.5,yes
Pad40,527.5,yes
Pad41,509.9,yes
Pad42,538.3,yes
Pad43,542,yes
Pad44,501.2,yes
Pad45,499,yes
PAD 46,447.2,yes
Pad 47,387.4,yes
Pad 48,379.9,yes
Pad 49,379.5,yes
Pad 50,522.2,yes
Pad 51,471.6,yes
Pad 52,377.7,yes
Pad 53,477.5,yes
Pad 54,471.5,yes
Pad 55,498.7,yes
Pad 56,497.3,yes
Pad 57,515.8,yes